id,pdb_id,gpcr_name,gpcr_class,subfamily,uniprot_id,species,description,method,resolution,pubmed_id,deposition_date,reference,gene_name,raw_pdb_file,mapping_pdb_file,fasta
,3OAX,RHODOPSIN,a,OPSINS,P02699,BOS TAURUS (BOVINE),CRYSTAL STRUCTURE OF BOVINE RHODOPSIN WITH BETA-IONONE,x,2.6,20923672,2010-08-05,"MAKINO ET AL. BINDING OF MORE THAN ONE RETINOID TO VISUAL OPSINS. BIOPHYS.J. 2010, 99, 2366.",RHO,raw_pdbs/3OAX.pdb,mapped_pdb/3OAX_atlas.pdb,fastas/3OAX.fasta
,3ODU,C-X-C CHEMOKINE RECEPTOR TYPE 4,a,CHEMOKINES AND CHEMOTACTIC FACTORS RECEPTORS,P61073,HOMO SAPIENS (HUMAN),THE 2.5 A STRUCTURE OF THE CXCR4 CHEMOKINE RECEPTOR IN COMPLEX WITH SMALL MOLECULE ANTAGONIST IT1T,x,2.5,20929726,2010-08-11,"WU ET AL. STRUCTURES OF THE CXCR4 CHEMOKINE GPCR WITH SMALL-MOLECULE AND CYCLIC PEPTIDE ANTAGONISTS. SCIENCE. 2010, 330, 1066.",CXCR4,raw_pdbs/3ODU.pdb,mapped_pdb/3ODU_atlas.pdb,fastas/3ODU.fasta
,3OE0,C-X-C CHEMOKINE RECEPTOR TYPE 4,a,CHEMOKINES AND CHEMOTACTIC FACTORS RECEPTORS,P61073,HOMO SAPIENS (HUMAN),CRYSTAL STRUCTURE OF THE CXCR4 CHEMOKINE RECEPTOR IN COMPLEX WITH A CYCLIC PEPTIDE ANTAGONIST CVX15,x,2.9,20929726,2010-08-12,"WU ET AL. STRUCTURES OF THE CXCR4 CHEMOKINE GPCR WITH SMALL-MOLECULE AND CYCLIC PEPTIDE ANTAGONISTS. SCIENCE. 2010, 330, 1066.",CXCR4,raw_pdbs/3OE0.pdb,mapped_pdb/3OE0_atlas.pdb,fastas/3OE0.fasta
,3OE6,C-X-C CHEMOKINE RECEPTOR TYPE 4,a,CHEMOKINES AND CHEMOTACTIC FACTORS RECEPTORS,P61073,HOMO SAPIENS (HUMAN),CRYSTAL STRUCTURE OF THE CXCR4 CHEMOKINE RECEPTOR IN COMPLEX WITH A SMALL MOLECULE ANTAGONIST IT1T IN I222 SPACEGROUP,x,3.2,20929726,2010-08-12,"WU ET AL. STRUCTURES OF THE CXCR4 CHEMOKINE GPCR WITH SMALL-MOLECULE AND CYCLIC PEPTIDE ANTAGONISTS. SCIENCE. 2010, 330, 1066.",CXCR4,raw_pdbs/3OE6.pdb,mapped_pdb/3OE6_atlas.pdb,fastas/3OE6.fasta
,3OE8,C-X-C CHEMOKINE RECEPTOR TYPE 4,a,CHEMOKINES AND CHEMOTACTIC FACTORS RECEPTORS,P61073,HOMO SAPIENS (HUMAN),CRYSTAL STRUCTURE OF THE CXCR4 CHEMOKINE RECEPTOR IN COMPLEX WITH A SMALL MOLECULE ANTAGONIST IT1T IN P1 SPACEGROUP,x,3.1,20929726,2010-08-12,"WU ET AL. STRUCTURES OF THE CXCR4 CHEMOKINE GPCR WITH SMALL-MOLECULE AND CYCLIC PEPTIDE ANTAGONISTS. SCIENCE. 2010, 330, 1066.",CXCR4,raw_pdbs/3OE8.pdb,mapped_pdb/3OE8_atlas.pdb,fastas/3OE8.fasta
,3OE9,C-X-C CHEMOKINE RECEPTOR TYPE 4,a,CHEMOKINES AND CHEMOTACTIC FACTORS RECEPTORS,P61073,HOMO SAPIENS (HUMAN),CRYSTAL STRUCTURE OF THE CHEMOKINE CXCR4 RECEPTOR IN COMPLEX WITH A SMALL MOLECULE ANTAGONIST IT1T IN P1 SPACEGROUP,x,3.1,20929726,2010-08-12,"WU ET AL. STRUCTURES OF THE CXCR4 CHEMOKINE GPCR WITH SMALL-MOLECULE AND CYCLIC PEPTIDE ANTAGONISTS. SCIENCE. 2010, 330, 1066.",CXCR4,raw_pdbs/3OE9.pdb,mapped_pdb/3OE9_atlas.pdb,fastas/3OE9.fasta
,3P0G,BETA-2 ADRENERGIC RECEPTOR,a,ADRENERGIC RECEPTORS,P07550,HOMO SAPIENS (HUMAN),STRUCTURE OF A NANOBODY-STABILIZED ACTIVE STATE OF THE BETA2 ADRENOCEPTOR,x,3.5,21228869,2010-09-28,"RASMUSSEN ET AL. STRUCTURE OF A NANOBODY-STABILIZED ACTIVE STATE OF THE B2 ADRENOCEPTOR. NATURE. 2011, 469, 175.",ADRB2,raw_pdbs/3P0G.pdb,mapped_pdb/3P0G_atlas.pdb,fastas/3P0G.fasta
,3PBL,D(3) DOPAMINE RECEPTOR,a,DOPAMINE RECEPTORS,P35462,HOMO SAPIENS (HUMAN),STRUCTURE OF THE HUMAN DOPAMINE D3 RECEPTOR IN COMPLEX WITH ETICLOPRIDE,x,2.89,21097933,2010-10-20,"CHIEN ET AL. STRUCTURE OF THE HUMAN DOPAMINE D3 RECEPTOR IN COMPLEX WITH A D2/D3 SELECTIVE ANTAGONIST. SCIENCE. 2010, 330, 1091.",DRD3,raw_pdbs/3PBL.pdb,mapped_pdb/3PBL_atlas.pdb,fastas/3PBL.fasta
,3PDS,BETA-2 ADRENERGIC RECEPTOR,a,ADRENERGIC RECEPTORS,P07550,HOMO SAPIENS (HUMAN),IRREVERSIBLE AGONIST-BETA2 ADRENOCEPTOR COMPLEX,x,3.5,21228876,2010-10-24,"ROSENBAUM ET AL. STRUCTURE AND FUNCTION OF AN IRREVERSIBLE AGONIST-BETA(2) ADRENOCEPTOR COMPLEX. NATURE. 2011, 469, 236.",ADRB2,raw_pdbs/3PDS.pdb,mapped_pdb/3PDS_atlas.pdb,fastas/3PDS.fasta
,3PQR,RHODOPSIN,a,OPSINS,P02699,BOS TAURUS (BOVINE),CRYSTAL STRUCTURE OF METARHODOPSIN II IN COMPLEX WITH A C-TERMINAL PEPTIDE DERIVED FROM THE GALPHA SUBUNIT OF TRANSDUCIN,x,2.85,21389988,2010-11-26,"CHOE ET AL. CRYSTAL STRUCTURE OF METARHODOPSIN II. NATURE. 2011, 471, 651.",RHO,raw_pdbs/3PQR.pdb,mapped_pdb/3PQR_atlas.pdb,fastas/3PQR.fasta
,3PWH,ADENOSINE RECEPTOR A2A,a,ADENOSINE AND ADENINE NUCLEOTIDE RECEPTORS,P29274,HOMO SAPIENS (HUMAN),THERMOSTABILISED ADENOSINE A2A RECEPTOR,x,3.3,21885291,2010-12-08,"DORE ET AL. STRUCTURE OF THE ADENOSINE A(2A) RECEPTOR IN COMPLEX WITH ZM241385 AND THE XANTHINES XAC AND CAFFEINE. STRUCTURE. 2011, 19, 1283.",ADORA2A,raw_pdbs/3PWH.pdb,mapped_pdb/3PWH_atlas.pdb,fastas/3PWH.fasta
,3PXO,RHODOPSIN,a,OPSINS,P02699,BOS TAURUS (BOVINE),CRYSTAL STRUCTURE OF METARHODOPSIN II,x,3,21389988,2010-12-10,"CHOE ET AL. CRYSTAL STRUCTURE OF METARHODOPSIN II. NATURE. 2011, 471, 651.",RHO,raw_pdbs/3PXO.pdb,mapped_pdb/3PXO_atlas.pdb,fastas/3PXO.fasta
,3QAK,ADENOSINE RECEPTOR A2A,a,ADENOSINE AND ADENINE NUCLEOTIDE RECEPTORS,P29274,HOMO SAPIENS (HUMAN),AGONIST BOUND STRUCTURE OF THE HUMAN ADENOSINE A2A RECEPTOR,x,2.71,21393508,2011-01-11,"XU ET AL. STRUCTURE OF AN AGONIST-BOUND HUMAN A2A ADENOSINE RECEPTOR. SCIENCE. 2011, 332, 322.",ADORA2A,raw_pdbs/3QAK.pdb,mapped_pdb/3QAK_atlas.pdb,fastas/3QAK.fasta
,3REY,ADENOSINE RECEPTOR A2A,a,ADENOSINE AND ADENINE NUCLEOTIDE RECEPTORS,P29274,HOMO SAPIENS (HUMAN),THERMOSTABILISED ADENOSINE A2A RECEPTOR IN COMPLEX WITH XAC,x,3.31,21885291,2011-04-05,"DORE ET AL. STRUCTURE OF THE ADENOSINE A(2A) RECEPTOR IN COMPLEX WITH ZM241385 AND THE XANTHINES XAC AND CAFFEINE. STRUCTURE. 2011, 19, 1283.",ADORA2A,raw_pdbs/3REY.pdb,mapped_pdb/3REY_atlas.pdb,fastas/3REY.fasta
,3RFM,ADENOSINE RECEPTOR A2A,a,ADENOSINE AND ADENINE NUCLEOTIDE RECEPTORS,P29274,HOMO SAPIENS (HUMAN),THERMOSTABILISED ADENOSINE A2A RECEPTOR IN COMPLEX WITH CAFFEINE,x,3.6,21885291,2011-04-06,"DORE ET AL. STRUCTURE OF THE ADENOSINE A(2A) RECEPTOR IN COMPLEX WITH ZM241385 AND THE XANTHINES XAC AND CAFFEINE. STRUCTURE. 2011, 19, 1283.",ADORA2A,raw_pdbs/3RFM.pdb,mapped_pdb/3RFM_atlas.pdb,fastas/3RFM.fasta
,3RZE,HISTAMINE H1 RECEPTOR,a,HISTAMINE RECEPTORS,P35367,HOMO SAPIENS (HUMAN),STRUCTURE OF THE HUMAN HISTAMINE H1 RECEPTOR IN COMPLEX WITH DOXEPIN,x,3.1,21697825,2011-05-11,"SHIMAMURA ET AL. STRUCTURE OF THE HUMAN HISTAMINE H1 RECEPTOR COMPLEX WITH DOXEPIN. NATURE. 2011, 475, 65.",HRH1,raw_pdbs/3RZE.pdb,mapped_pdb/3RZE_atlas.pdb,fastas/3RZE.fasta
,3SN6,BETA-2 ADRENERGIC RECEPTOR,a,ADRENERGIC RECEPTORS,P07550,HOMO SAPIENS (HUMAN),CRYSTAL STRUCTURE OF THE BETA2 ADRENERGIC RECEPTOR-GS PROTEIN COMPLEX,x,3.2,21772288,2011-06-28,"RASMUSSEN ET AL. CRYSTAL STRUCTURE OF THE BETA2 ADRENERGIC RECEPTOR-GS PROTEIN COMPLEX. NATURE. 2011, 477, 549.",ADRB2,raw_pdbs/3SN6.pdb,mapped_pdb/3SN6_atlas.pdb,fastas/3SN6.fasta
,3UON,MUSCARINIC ACETYLCHOLINE RECEPTOR M2,a,ACETYLCHOLINE (MUSCARINIC) RECEPTORS,P08172,HOMO SAPIENS (HUMAN),STRUCTURE OF THE HUMAN M2 MUSCARINIC ACETYLCHOLINE RECEPTOR BOUND TO AN ANTAGONIST,x,3,22278061,2011-11-16,"HAGA ET AL. STRUCTURE OF THE HUMAN M2 MUSCARINIC ACETYLCHOLINE RECEPTOR BOUND TO AN ANTAGONIST. NATURE. 2012, 482, 547.",CHRM2,raw_pdbs/3UON.pdb,mapped_pdb/3UON_atlas.pdb,fastas/3UON.fasta
,3UZA,ADENOSINE RECEPTOR A2A,a,ADENOSINE AND ADENINE NUCLEOTIDE RECEPTORS,P29274,HOMO SAPIENS (HUMAN),"THERMOSTABILISED ADENOSINE A2A RECEPTOR IN COMPLEX WITH 6-(2,6-DIMETHYLPYRIDIN-4-YL)-5-PHENYL-1,2,4-TRIAZIN-3-AMINE",x,3.27,22220592,2011-12-07,"CONGREVE ET AL. DISCOVERY OF 1,2,4-TRIAZINE DERIVATIVES AS ADENOSINE A(2A) ANTAGONISTS USING STRUCTURE BASED DRUG DESIGN. J.MED.CHEM. 2012, 55, 1898.",ADORA2A,raw_pdbs/3UZA.pdb,mapped_pdb/3UZA_atlas.pdb,fastas/3UZA.fasta
,3UZC,ADENOSINE RECEPTOR A2A,a,ADENOSINE AND ADENINE NUCLEOTIDE RECEPTORS,P29274,HOMO SAPIENS (HUMAN),"THERMOSTABILISED ADENOSINE A2A RECEPTOR IN COMPLEX WITH 4-(3-AMINO-5-PHENYL-1,2,4-TRIAZIN-6-YL)-2-CHLOROPHENOL",x,3.34,22220592,2011-12-07,"CONGREVE ET AL. DISCOVERY OF 1,2,4-TRIAZINE DERIVATIVES AS ADENOSINE A(2A) ANTAGONISTS USING STRUCTURE BASED DRUG DESIGN. J.MED.CHEM. 2012, 55, 1898.",ADORA2A,raw_pdbs/3UZC.pdb,mapped_pdb/3UZC_atlas.pdb,fastas/3UZC.fasta
,3V2W,SPHINGOSINE 1-PHOSPHATE RECEPTOR 1,a,LYSOLIPIDS RECEPTORS,P21453,HOMO SAPIENS (HUMAN),CRYSTAL STRUCTURE OF A LIPID G PROTEIN-COUPLED RECEPTOR AT 3.35A,x,3.35,22344443,2011-12-12,"HANSON ET AL. CRYSTAL STRUCTURE OF A LIPID G PROTEIN-COUPLED RECEPTOR. SCIENCE. 2012, 335, 851.",S1PR1,raw_pdbs/3V2W.pdb,mapped_pdb/3V2W_atlas.pdb,fastas/3V2W.fasta
,3V2Y,SPHINGOSINE 1-PHOSPHATE RECEPTOR 1,a,LYSOLIPIDS RECEPTORS,P21453,HOMO SAPIENS (HUMAN),CRYSTAL STRUCTURE OF A LIPID G PROTEIN-COUPLED RECEPTOR AT 2.80A,x,2.8,22344443,2011-12-12,"HANSON ET AL. CRYSTAL STRUCTURE OF A LIPID G PROTEIN-COUPLED RECEPTOR. SCIENCE. 2012, 335, 851.",S1PR1,raw_pdbs/3V2Y.pdb,mapped_pdb/3V2Y_atlas.pdb,fastas/3V2Y.fasta
,3VG9,ADENOSINE RECEPTOR A2A,a,ADENOSINE AND ADENINE NUCLEOTIDE RECEPTORS,P29274,HOMO SAPIENS (HUMAN),CRYSTAL STRUCTURE OF HUMAN ADENOSINE A2A RECEPTOR WITH AN ALLOSTERIC INVERSE-AGONIST ANTIBODY AT 2.7 A RESOLUTION,x,2.7,22286059,2011-08-04,"HINO ET AL. G-PROTEIN-COUPLED RECEPTOR INACTIVATION BY AN ALLOSTERIC INVERSE-AGONIST ANTIBODY. NATURE. 2012, 482, 237.",ADORA2A,raw_pdbs/3VG9.pdb,mapped_pdb/3VG9_atlas.pdb,fastas/3VG9.fasta
,3VGA,ADENOSINE RECEPTOR A2A,a,ADENOSINE AND ADENINE NUCLEOTIDE RECEPTORS,P29274,HOMO SAPIENS (HUMAN),CRYSTAL STRUCTURE OF HUMAN ADENOSINE A2A RECEPTOR WITH AN ALLOSTERIC INVERSE-AGONIST ANTIBODY AT 3.1 A RESOLUTION,x,3.1,22286059,2011-08-04,"HINO ET AL. G-PROTEIN-COUPLED RECEPTOR INACTIVATION BY AN ALLOSTERIC INVERSE-AGONIST ANTIBODY. NATURE. 2012, 482, 237.",ADORA2A,raw_pdbs/3VGA.pdb,mapped_pdb/3VGA_atlas.pdb,fastas/3VGA.fasta
,3VW7,PROTEINASE-ACTIVATED RECEPTOR 1,a,PROTEINASE-ACTIVATED RECEPTORS,P25116,HOMO SAPIENS (HUMAN),CRYSTAL STRUCTURE OF HUMAN PROTEASE-ACTIVATED RECEPTOR 1 (PAR1) BOUND WITH ANTAGONIST VORAPAXAR AT 2.2 ANGSTROM,x,2.2,23222541,2012-08-07,"ZHANG ET AL. HIGH-RESOLUTION CRYSTAL STRUCTURE OF HUMAN PROTEASE-ACTIVATED RECEPTOR 1. NATURE. 2012, 492, 387.",F2R,raw_pdbs/3VW7.pdb,mapped_pdb/3VW7_atlas.pdb,fastas/3VW7.fasta
,3ZEV,NEUROTENSIN RECEPTOR TYPE 1,a,NEUROTENSIN RECEPTORS,P20789,RATTUS NORVEGICUS (RAT),STRUCTURE OF THERMOSTABLE AGONIST-BOUND NEUROTENSIN RECEPTOR 1 MUTANT WITHOUT LYSOZYME FUSION,x,3,24453215,2012-12-07,"EGLOFF ET AL. STRUCTURE OF SIGNALING-COMPETENT NEUROTENSIN RECEPTOR 1 OBTAINED BY DIRECTED EVOLUTION IN ESCHERICHIA COLI. PROC.NATL.ACAD.SCI.USA. 2014, 111, E655.",Ntsr1,raw_pdbs/3ZEV.pdb,mapped_pdb/3ZEV_atlas.pdb,fastas/3ZEV.fasta
,3ZPQ,BETA-1 ADRENERGIC RECEPTOR,a,ADRENERGIC RECEPTORS,P07700,MELEAGRIS GALLOPAVO (WILD TURKEY),THERMOSTABILISED TURKEY BETA1 ADRENERGIC RECEPTOR WITH 4-(PIPERAZIN-1- YL)-1H-INDOLE BOUND (COMPOUND 19),x,2.8,23517028,2013-03-01,"CHRISTOPHER ET AL. BIOPHYSICAL FRAGMENT SCREENING OF THE BETA1-ADRENERGIC RECEPTOR: IDENTIFICATION OF HIGH AFFINITY ARYL PIPERAZINE LEADS USING STRUCTURE-BASED DRUG DESIGN. J.MED.CHEM. 2013, 56, 3446.",ADRB1,raw_pdbs/3ZPQ.pdb,mapped_pdb/3ZPQ_atlas.pdb,fastas/3ZPQ.fasta
,3ZPR,BETA-1 ADRENERGIC RECEPTOR,a,ADRENERGIC RECEPTORS,P07700,MELEAGRIS GALLOPAVO (WILD TURKEY),THERMOSTABILISED TURKEY BETA1 ADRENERGIC RECEPTOR WITH 4-METHYL-2-(PIPERAZIN-1-YL) QUINOLINE BOUND,x,2.7,23517028,2013-03-01,"CHRISTOPHER ET AL. BIOPHYSICAL FRAGMENT SCREENING OF THE BETA1-ADRENERGIC RECEPTOR: IDENTIFICATION OF HIGH AFFINITY ARYL PIPERAZINE LEADS USING STRUCTURE-BASED DRUG DESIGN. J.MED.CHEM. 2013, 56, 3446.",ADRB1,raw_pdbs/3ZPR.pdb,mapped_pdb/3ZPR_atlas.pdb,fastas/3ZPR.fasta
,4A4M,RHODOPSIN,a,OPSINS,P02699,BOS TAURUS (BOVINE),"CRYSTAL STRUCTURE OF THE LIGHT-ACTIVATED CONSTITUTIVELY ACTIVE N2C, M257Y,D282C RHODOPSIN MUTANT IN COMPLEX WITH A PEPTIDE RESEMBLING THE C-TERMINUS OF THE GALPHA-PROTEIN SUBUNIT (GACT)",x,3.3,22198838,2011-10-17,"DEUPI ET AL. STABILIZED G PROTEIN BINDING SITE IN THE STRUCTURE OF CONSTITUTIVELY ACTIVE METARHODOPSIN-II. PROC.NATL.ACAD.SCI.USA. 2012, 109, 119.",RHO,raw_pdbs/4A4M.pdb,mapped_pdb/4A4M_atlas.pdb,fastas/4A4M.fasta
,4AMI,BETA-1 ADRENERGIC RECEPTOR,a,ADRENERGIC RECEPTORS,P07700,MELEAGRIS GALLOPAVO (WILD TURKEY),TURKEY BETA1 ADRENERGIC RECEPTOR WITH STABILISING MUTATIONS AND BOUND BIASED AGONIST BUCINDOLOL,x,3.2,22579251,2012-03-11,"WARNE ET AL. CRYSTAL STRUCTURES OF A STABILIZED BETA1-ADRENOCEPTOR BOUND TO THE BIASED AGONISTS BUCINDOLOL AND CARVEDILOL. STRUCTURE. 2012, 20, 841.",ADRB1,raw_pdbs/4AMI.pdb,mapped_pdb/4AMI_atlas.pdb,fastas/4AMI.fasta
,4AMJ,BETA-1 ADRENERGIC RECEPTOR,a,ADRENERGIC RECEPTORS,P07700,MELEAGRIS GALLOPAVO (WILD TURKEY),TURKEY BETA1 ADRENERGIC RECEPTOR WITH STABILISING MUTATIONS AND BOUND BIASED AGONIST CARVEDILOL,x,2.3,22579251,2012-03-12,"WARNE ET AL. CRYSTAL STRUCTURES OF A STABILIZED BETA1-ADRENOCEPTOR BOUND TO THE BIASED AGONISTS BUCINDOLOL AND CARVEDILOL. STRUCTURE. 2012, 20, 841.",ADRB1,raw_pdbs/4AMJ.pdb,mapped_pdb/4AMJ_atlas.pdb,fastas/4AMJ.fasta
,4BEY,RHODOPSIN,a,OPSINS,P02699,BOS TAURUS (BOVINE),NIGHT BLINDNESS CAUSING G90D RHODOPSIN IN COMPLEX WITH GACT2 PEPTIDE,x,2.9,23579341,2013-03-12,"SINGHAL ET AL. INSIGHTS INTO CONGENITAL STATIONARY NIGHT BLINDNESS BASED ON THE STRUCTURE OF G90D RHODOPSIN. EMBO REP. 2013, 14, 520.",RHO,raw_pdbs/4BEY.pdb,mapped_pdb/4BEY_atlas.pdb,fastas/4BEY.fasta
,4BEZ,RHODOPSIN,a,OPSINS,P02699,BOS TAURUS (BOVINE),NIGHT BLINDNESS CAUSING G90D RHODOPSIN IN THE ACTIVE CONFORMATION,x,3.3,23579341,2013-03-12,"SINGHAL ET AL. INSIGHTS INTO CONGENITAL STATIONARY NIGHT BLINDNESS BASED ON THE STRUCTURE OF G90D RHODOPSIN. EMBO REP. 2013, 14, 520.",RHO,raw_pdbs/4BEZ.pdb,mapped_pdb/4BEZ_atlas.pdb,fastas/4BEZ.fasta
,4BUO,NEUROTENSIN RECEPTOR TYPE 1,a,NEUROTENSIN RECEPTORS,P20789,RATTUS NORVEGICUS (RAT),HIGH RESOLUTION STRUCTURE OF THERMOSTABLE AGONIST-BOUND NEUROTENSIN RECEPTOR 1 MUTANT WITHOUT LYSOZYME FUSION,x,2.75,24453215,2013-06-21,"EGLOFF ET AL. STRUCTURE OF SIGNALING-COMPETENT NEUROTENSIN RECEPTOR 1 OBTAINED BY DIRECTED EVOLUTION IN ESCHERICHIA COLI. PROC.NATL.ACAD.SCI.USA. 2014, 111, E655.",Ntsr1,raw_pdbs/4BUO.pdb,mapped_pdb/4BUO_atlas.pdb,fastas/4BUO.fasta
,4BV0,NEUROTENSIN RECEPTOR TYPE 1,a,NEUROTENSIN RECEPTORS,P20789,RATTUS NORVEGICUS (RAT),HIGH RESOLUTION STRUCTURE OF EVOLVED AGONIST-BOUND NEUROTENSIN RECEPTOR 1 MUTANT WITHOUT LYSOZYME FUSION,x,3.1,24453215,2013-06-24,"EGLOFF ET AL. STRUCTURE OF SIGNALING-COMPETENT NEUROTENSIN RECEPTOR 1 OBTAINED BY DIRECTED EVOLUTION IN ESCHERICHIA COLI. PROC.NATL.ACAD.SCI.USA. 2014, 111, E655.",Ntsr1,raw_pdbs/4BV0.pdb,mapped_pdb/4BV0_atlas.pdb,fastas/4BV0.fasta
,4BVN,BETA-1 ADRENERGIC RECEPTOR,a,ADRENERGIC RECEPTORS,P07700,MELEAGRIS GALLOPAVO (WILD TURKEY),ULTRA-THERMOSTABLE BETA1-ADRENOCEPTOR WITH CYANOPINDOLOL BOUND,x,2.1,24663151,2013-06-26,"MILLER-GALLACHER ET AL. THE 21 A RESOLUTION STRUCTURE OF CYANOPINDOLOL-BOUND BETA1- ADRENOCEPTOR IDENTIFIES AN INTRAMEMBRANE NA+ ION THAT STABILISES THE LIGAND-FREE RECEPTOR. PLOS ONE. 2014, 9, 92727.",ADRB1,raw_pdbs/4BVN.pdb,mapped_pdb/4BVN_atlas.pdb,fastas/4BVN.fasta
,4BWB,NEUROTENSIN RECEPTOR TYPE 1,a,NEUROTENSIN RECEPTORS,P20789,RATTUS NORVEGICUS (RAT),STRUCTURE OF EVOLVED AGONIST-BOUND NEUROTENSIN RECEPTOR 1 MUTANT WITHOUT LYSOZYME FUSION,x,3.57,24453215,2013-07-01,"EGLOFF ET AL. STRUCTURE OF SIGNALING-COMPETENT NEUROTENSIN RECEPTOR 1 OBTAINED BY DIRECTED EVOLUTION IN ESCHERICHIA COLI. PROC.NATL.ACAD.SCI.USA. 2014, 111, E655.",Ntsr1,raw_pdbs/4BWB.pdb,mapped_pdb/4BWB_atlas.pdb,fastas/4BWB.fasta
,4DAJ,MUSCARINIC ACETYLCHOLINE RECEPTOR M3,a,ACETYLCHOLINE (MUSCARINIC) RECEPTORS,P08483,RATTUS NORVEGICUS (RAT),STRUCTURE OF THE M3 MUSCARINIC ACETYLCHOLINE RECEPTOR,x,3.4,22358844,2012-01-12,"KRUSE ET AL. STRUCTURE AND DYNAMICS OF THE M3 MUSCARINIC ACETYLCHOLINE RECEPTOR. NATURE. 2012, 482, 552.",Chrm3,raw_pdbs/4DAJ.pdb,mapped_pdb/4DAJ_atlas.pdb,fastas/4DAJ.fasta
,4DJH,KAPPA-TYPE OPIOID RECEPTOR,a,OPIOID PEPTIDES RECEPTORS,P41145,HOMO SAPIENS (HUMAN),STRUCTURE OF THE HUMAN KAPPA OPIOID RECEPTOR IN COMPLEX WITH JDTIC,x,2.9,22437504,2012-02-01,"WU ET AL. STRUCTURE OF THE HUMAN KAPPA-OPIOID RECEPTOR IN COMPLEX WITH JDTIC. NATURE. 2012, 485, 327.",OPRK1,raw_pdbs/4DJH.pdb,mapped_pdb/4DJH_atlas.pdb,fastas/4DJH.fasta
,4DKL,MU-TYPE OPIOID RECEPTOR,a,OPIOID PEPTIDES RECEPTORS,P42866,MUS MUSCULUS (MOUSE),CRYSTAL STRUCTURE OF THE MU-OPIOID RECEPTOR BOUND TO A MORPHINAN ANTAGONIST,x,2.8,22437502,2012-02-03,"MANGLIK ET AL. CRYSTAL STRUCTURE OF THE {MU}-OPIOID RECEPTOR BOUND TO A MORPHINAN ANTAGONIST. NATURE. 2012, 485, 321.",Oprm1,raw_pdbs/4DKL.pdb,mapped_pdb/4DKL_atlas.pdb,fastas/4DKL.fasta
,4EA3,NOCICEPTIN RECEPTOR,a,OPIOID PEPTIDES RECEPTORS,P41146,HOMO SAPIENS (HUMAN),STRUCTURE OF THE N/OFQ OPIOID RECEPTOR IN COMPLEX WITH A PEPTIDE MIMETIC,x,3.01,22596163,2012-03-22,"THOMPSON ET AL. STRUCTURE OF THE NOCICEPTIN/ORPHANIN FQ RECEPTOR IN COMPLEX WITH A PEPTIDE MIMETIC. NATURE. 2012, 485, 395.",OPRL1,raw_pdbs/4EA3.pdb,mapped_pdb/4EA3_atlas.pdb,fastas/4EA3.fasta
,4EIY,ADENOSINE RECEPTOR A2A,a,ADENOSINE AND ADENINE NUCLEOTIDE RECEPTORS,P29274,HOMO SAPIENS (HUMAN),CRYSTAL STRUCTURE OF THE CHIMERIC PROTEIN OF A2AAR-BRIL IN COMPLEX WITH ZM241385 AT 1.8A RESOLUTION,x,1.8,22798613,2012-04-06,"LIU ET AL. STRUCTURAL BASIS FOR ALLOSTERIC REGULATION OF GPCRS BY SODIUM IONS. SCIENCE. 2012, 337, 232.",ADORA2A,raw_pdbs/4EIY.pdb,mapped_pdb/4EIY_atlas.pdb,fastas/4EIY.fasta
,4EJ4,DELTA-TYPE OPIOID RECEPTOR,a,OPIOID PEPTIDES RECEPTORS,P32300,MUS MUSCULUS (MOUSE),STRUCTURE OF THE DELTA OPIOID RECEPTOR BOUND TO NALTRINDOLE,x,3.4,22596164,2012-04-06,"GRANIER ET AL. STRUCTURE OF THE DELTA OPIOID RECEPTOR BOUND TO NALTRINDOLE. NATURE. 2012, 485, 400.",Oprd1,raw_pdbs/4EJ4.pdb,mapped_pdb/4EJ4_atlas.pdb,fastas/4EJ4.fasta
,4GBR,BETA-2 ADRENERGIC RECEPTOR,a,ADRENERGIC RECEPTORS,P07550,HOMO SAPIENS (HUMAN),N-TERMINAL T4 LYSOZYME FUSION FACILITATES CRYSTALLIZATION OF A G PROTEIN COUPLED RECEPTOR,x,3.99,23056231,2012-07-27,"ZOU ET AL. N-TERMINAL T4 LYSOZYME FUSION FACILITATES CRYSTALLIZATION OF A G PROTEIN COUPLED RECEPTOR. PLOS ONE. 2012, 7, E46039.",ADRB2,raw_pdbs/4GBR.pdb,mapped_pdb/4GBR_atlas.pdb,fastas/4GBR.fasta
,4GPO,BETA-1 ADRENERGIC RECEPTOR,a,ADRENERGIC RECEPTORS,P07700,MELEAGRIS GALLOPAVO (WILD TURKEY),OLIGOMEIC TURKEY BETA1-ADRENERGIC G PROTEIN-COUPLED RECEPTOR,x,3.5,23435379,2012-08-21,"HUANG ET AL. CRYSTAL STRUCTURE OF OLIGOMERIC BETA-1-ADRENERGIC G PROTEIN-COUPLED RECEPTORS IN LIGAND-FREE BASAL STATE. NAT.STRUCT.MOL.BIOL. 2013, 20, 419.",ADRB1,raw_pdbs/4GPO.pdb,mapped_pdb/4GPO_atlas.pdb,fastas/4GPO.fasta
